Time,j10,j11,j12,j13,j14,j15,vel_j1,vel_j2,vel_j3,vel_j4,vel_j5,vel_j6,vel_pct_j1,vel_pct_j2,vel_pct_j3,vel_pct_j4,vel_pct_j5,vel_pct_j6,TCP_X,TCP_Y,TCP_Z
5.534740737,-109.663107,60.08223419,-31.76120085,-24.32958917,53.38492294,56.31749476,-6.445321338,43.3509678,-13.58210238,-200.5348657,70.82272864,-14.48924842,99,99,99,99,99,99,-196.4483133,-471.1541507,78.97196147
5.545024213,-109.7293034,60.52746843,-31.90069525,-26.38917382,54.11230471,56.16868356,-6.42394222,43.20717273,-13.53705057,-199.869692,70.5878098,-14.44118761,99,99,99,99,99,99,-198.0163668,-466.8125925,76.06345694
5.555307688,-109.7952279,60.97087401,-32.03961671,-28.44029941,54.83669899,56.02048356,-6.392475596,42.9955295,-13.47074156,-198.8906631,70.24204702,-14.37044983,98,98,98,98,98,98,-199.5257631,-462.378131,73.22392428
5.565591164,-109.8607771,61.4117554,-32.17774733,-30.47974843,55.55696947,55.87312722,-6.350996127,42.71654029,-13.38333267,-197.6001022,69.78626072,-14.27720292,98,98,98,98,98,98,-200.9703671,-457.8617742,70.45993541
5.57587464,-109.9258485,61.84942302,-32.31487107,-32.50433111,56.27198963,55.72684502,-6.299602518,42.37086898,-13.2750319,-196.0010803,69.22153549,-14.16166876,97,97,97,97,97,97,-202.3446553,-453.2753285,67.77753331
5.586158115,-109.9903407,62.283195,-32.45077427,-34.51089312,56.98064543,55.58186487,-6.238417512,41.95934113,-13.14609791,-194.0974161,68.54922004,-14.02412329,96,96,96,96,96,96,-203.6437811,-448.6313004,65.18217895
5.596441591,-110.0541537,62.71239875,-32.58524622,-36.49632324,57.6818381,55.43841156,-6.167587892,41.482944,-12.99684,-191.8936768,67.77092727,-13.86489648,95,95,95,95,95,95,-204.8636304,-443.9427875,62.67870599
5.606725067,-110.1171892,63.13637269,-32.71807965,-38.45756105,58.3744868,55.29670621,-6.087284479,40.94282653,-12.82761816,-189.395177,66.88853422,-13.68437234,94,94,94,94,94,94,-206.0008645,-439.2233618,60.27128417
5.617008543,-110.1793506,63.55446788,-32.84907122,-40.39160464,59.05753134,55.15696574,-5.997702138,40.34029936,-12.638843,-186.6079796,65.90418207,-13.48298893,92,92,92,92,92,92,-207.0529498,-434.486947,57.96339221
5.627292018,-110.2405437,63.96604967,-32.97802212,-42.2955183,59.72993491,55.01940224,-5.899059769,39.67683482,-12.43097582,-183.5388953,64.82027619,-13.26123834,91,91,91,91,91,91,-208.0181754,-429.7476918,55.75780054
5.637575494,-110.3006763,64.37049941,-33.1047385,-44.16644019,60.39068681,54.88422249,-5.791600315,38.95406693,-12.20452857,-180.195483,63.63948608,-13.01966672,89,89,89,89,89,89,-208.8956568,-425.0198423,53.65656434
5.64785897,-110.3596592,64.76721607,-33.22903206,-46.00159005,61.03880513,54.75162738,-5.675590759,38.1737914,-11.96006385,-176.5860491,62.36474539,-12.75887425,87,87,87,87,87,87,-209.6853275,-420.3176152,51.66102663
5.658142445,-110.4174059,65.15561793,-33.35072055,-47.79827688,61.6733395,54.62181134,-5.55132212,37.33796562,-11.69819493,-172.7196485,60.99925194,-12.47951515,85,85,85,85,85,85,-210.3879169,-415.6550743,49.77183132
5.668425921,-110.473833,65.5351442,-33.46962827,-49.55390666,62.29337378,54.4949618,-5.419109462,36.44870868,-11.41958572,-168.6060836,59.54646771,-12.18229768,83,83,83,83,83,83,-211.0049186,-411.0460118,47.98894563
5.678709397,-110.5288605,65.90525675,-33.58558661,-51.26599001,62.89802881,54.37125862,-5.279291885,35.50830138,-11.12495082,-164.255905,58.01011881,-11.86798417,81,81,81,81,81,81,-211.5385458,-406.5038372,46.31169119
5.688992872,-110.5824119,66.26544171,-33.69843459,-52.93214988,63.48646508,54.25087355,-5.13223253,34.51918617,-10.81505545,-159.6804111,56.39419554,-11.53739095,79,79,79,79,79,79,-211.9916795,-402.0414738,44.73878288
5.699276348,-110.6344148,66.61521117,-33.80801933,-54.55012927,64.05788549,54.13396966,-4.978318579,33.48396722,-10.49071552,-154.8916486,54.70295232,-11.19138842,77,77,77,77,77,77,-212.3678071,-397.6712657,43.26837443
5.709559824,-110.6848008,66.95410483,-33.91419663,-56.11779889,64.61153804,54.02070081,-4.817961251,32.40541039,-10.1527976,-149.9024117,52.94090774,-10.83090102,74,74,74,74,74,74,-212.6709546,-393.4048946,41.89810958
5.7198433,-110.7335056,67.28169167,-34.01683143,-57.63316489,65.14671856,53.91121104,-4.651595808,31.28644322,-9.802218878,-144.7262428,51.11284456,-10.45690722,72,72,72,72,72,72,-212.9056143,-389.2533077,40.62517761
5.730126775,-110.7804699,67.59757159,-34.11579839,-59.0943765,65.66277343,53.8056341,-4.479681549,30.13015495,-9.439947249,-139.3774322,49.22380966,-10.07043953,69,69,69,69,69,69,-213.0766683,-385.2266578,39.44637193
5.740410251,-110.825639,67.90137711,-34.21098237,-60.49973376,66.15910226,53.7040928,-4.302701815,28.93979649,-9.06700124,-133.8710183,47.27911412,-9.672584531,66,66,66,66,66,66,-213.189309,-381.3342531,38.35815057
5.750693727,-110.8689634,68.19277498,-34.30227896,-61.84769522,66.63516067,53.60669853,-4.121163985,27.71878047,-8.684450043,-128.2227872,45.28433313,-9.264482813,63,63,63,63,63,63,-213.2489606,-377.5845194,37.35669716
