Time,X1,Y1,Z1,Rx1,Ry1,Rz1,j10,j11,j12,j13,j14,j15
1.7,1287.25237908,60.2318636412,1360.76389252,-2.41222010985e-06,0.000147516609935,-89.9998240586,-52.3679040902,28.3682161545,-45.9710786017,0.000735104359284,-44.0290748803,-37.6326488028
1.8,1289.0080271,75.8169250772,1321.16810222,-1.93530963864e-05,0.000159294773875,-89.9998234224,-51.2592773438,30.9844970703,-51.5988464355,0.000823974609375,-38.4013366699,-38.741394043
1.9,1289.00837198,75.8290333087,1321.14036088,-1.93283950924e-05,0.000159332765906,-89.9998234727,-51.2592773438,30.9844970703,-51.5988464355,0.000823974609375,-38.4013366699,-38.741394043
2.0,1289.00837198,75.8290333087,1321.14036088,-1.93283950924e-05,0.000159332765906,-89.9998234727,-51.2592773438,30.9844970703,-51.5988464355,0.000823974609375,-38.4013366699,-38.741394043
2.1,1289.14939165,75.8290008613,1326.86307077,-2.54483856769e-05,0.000154292983753,-89.9997992897,-51.2481079102,30.4317932129,-50.895111084,0.000823974609375,-39.1050720215,-38.752532959
2.2,1291.87376444,75.8290434005,1437.59397306,-3.89251622083e-05,0.000180136237271,-89.9998411823,-51.032989502,21.2741088867,-36.7930297852,0.000640869140625,-53.2071838379,-38.9674377441
2.3,1294.08735279,75.8290705777,1527.54928079,-7.28600337399e-06,0.000164533562337,-89.9998403207,-50.859161377,16.2450866699,-24.9948730469,0.00054931640625,-65.0053100586,-39.1411132813
2.4,1295.1400578,75.8761696874,1564.38597553,-3.95720216727e-05,0.00017726467522,-89.6713361875,-50.7737872686,14.8599901491,-20.1254299973,0.000548091179461,-69.8747811753,-38.8979401563
2.5,1305.77246482,80.1507744703,1593.20116812,6.12117175244e-05,0.000245967226606,-65.9400698595,-49.676849718,14.4392337513,-16.1990086713,0.000459575260384,-73.8010254695,-16.2635505829
2.6,1325.34000275,96.7057522266,1661.85865176,6.62748826285e-05,0.000181745344116,-10.3832772901,-47.1088332514,13.4542101666,-7.00694972999,0.000252352575275,-82.9926699654,36.725322944
2.7,1335.60376574,106.177892891,1671.91071858,2.28349619067e-05,0.000184403719882,2.33852173739,-45.7103574686,13.447786875,-5.63666123637,0.000202919041149,-84.3628861537,48.0486570428
2.8,1427.64714491,192.918875059,1632.86251109,0.000119145581396,0.000241465328943,33.9437120413,-33.295534884,15.8492779617,-10.3360922915,5.82421879268e-05,-79.6635247578,67.2390342432
2.9,1545.20094304,451.433936135,1545.79197588,0.00019692694944,0.000184078218508,103.347928279,-6.03285965623,21.1228991601,-20.6559387283,-0.000259464975062,-69.3438312912,109.38067723
3.0,1530.52415582,698.528551636,1472.05019817,5.91731675815e-05,0.000155532098759,162.196289912,17.0834016378,25.5944487997,-29.4062269796,-0.000528851663392,-60.5936727445,145.112945708
