Time,X1,Y1,Z1,Rx1,Ry1,Rz1,j10,j11,j12,j13,j14,j15
3.4,1988.30160238,794.901760622,1464.24936603,90.0000208812,-0.681021014946,0.0128431895695,-107.770599365,47.3560791016,-27.7742004395,34.5401611328,32.5935058594,60.5710144043
3.5,1988.30160238,794.901760622,1464.24936603,90.0000208812,-0.681021014946,0.0128431895695,-107.770599365,47.3560791016,-27.7742004395,34.5401611328,32.5935058594,60.5710144043
3.6,1988.30160238,794.901760622,1464.24936603,90.0000208812,-0.681021014946,0.0128431895695,-107.770599365,47.3560791016,-27.7742004395,34.5401611328,32.5935058594,60.5710144043
3.7,1988.30160238,794.901760622,1464.24936603,90.0000208812,-0.681021014946,0.0128431895695,-107.770599365,47.3560791016,-27.7742004395,34.5401611328,32.5935058594,60.5710144043
3.8,1988.30160238,794.901760622,1464.24936603,90.0000208812,-0.681021014946,0.0128431895695,-107.770599365,47.3560791016,-27.7742004395,34.5401611328,32.5935058594,60.5710144043
3.9,1988.30160238,794.901760622,1464.24936603,90.0000208812,-0.681021014946,0.0128431895695,-107.770599365,47.3560791016,-27.7742004395,34.5401611328,32.5935058594,60.5710144043
4.0,1988.30160238,794.901760622,1464.24936603,90.0000208812,-0.681021014946,0.0128431895695,-107.770599365,47.3560791016,-27.7742004395,34.5401611328,32.5935058594,60.5710144043
4.1,1988.30160238,794.901760622,1464.24936603,90.0000208812,-0.681021014946,0.0128431895695,-107.770599365,47.3560791016,-27.7742004395,34.5401611328,32.5935058594,60.5710144043
4.2,1988.30160238,794.901760622,1464.24936603,90.0000208812,-0.681021014946,0.0128431895695,-107.770599365,47.3560791016,-27.7742004395,34.5401611328,32.5935058594,60.5710144043
4.3,1988.30160238,794.901760622,1464.24936603,90.0000208812,-0.681021014946,0.0128431895695,-107.770599365,47.3560791016,-27.7742004395,34.5401611328,32.5935058594,60.5710144043
4.4,1988.30160238,794.901760622,1464.24936603,90.0000208812,-0.681021014946,0.0128431895695,-107.770599365,47.3560791016,-27.7742004395,34.5401611328,32.5935058594,60.5710144043
4.5,1988.30160238,794.901760622,1464.24936603,90.0000208812,-0.681021014946,0.0128431895695,-107.770599365,47.3560791016,-27.7742004395,34.5401611328,32.5935058594,60.5710144043
4.6,1988.30160238,794.901760622,1464.24936603,90.0000208812,-0.681021014946,0.0128431895695,-107.770599365,47.3560791016,-27.7742004395,34.5401611328,32.5935058594,60.5710144043
4.7,1988.30160238,794.901760622,1464.24936603,90.0000208812,-0.681021014946,0.0128431895695,-107.770599365,47.3560791016,-27.7742004395,34.5401611328,32.5935058594,60.5710144043
4.8,1988.30160238,794.901760622,1464.24936603,90.0000208812,-0.681021014946,0.0128431895695,-107.770599365,47.3560791016,-27.7742004395,34.5401611328,32.5935058594,60.5710144043
4.9,1988.30160238,794.901760622,1464.24936603,90.0000208812,-0.681021014946,0.0128431895695,-107.770599365,47.3560791016,-27.7742004395,34.5401611328,32.5935058594,60.5710144043
5.0,1988.30160238,794.901760622,1464.24936603,90.0000208812,-0.681021014946,0.0128431895695,-107.770599365,47.3560791016,-27.7742004395,34.5401611328,32.5935058594,60.5710144043
5.1,1988.39757582,794.929515326,1464.32677468,90.0584180187,-0.681419311942,-0.0207909487614,-107.773749319,47.3616527335,-27.7693917695,34.4422880663,32.6251507272,60.6524055888
5.2,2003.50135653,797.651105456,1474.87925269,98.0546908357,-0.597843481975,-5.95990019877,-108.221315882,48.1535917962,-27.0861436321,20.5358252595,37.1214661398,72.2170118677
5.3,2057.35635808,790.387350627,1493.09976568,112.440301872,3.23098227319,-33.7937238892,-109.493948754,50.4054304409,-25.1433621329,-19.0064979221,49.906511456,105.100384534
5.4,2109.57589203,763.365103291,1482.04483792,103.679300719,5.66601808855,-71.8215897808,-110.80442014,52.7242217125,-23.1428170256,-59.7245103202,63.0716871919,138.961459661
5.5,2126.15035557,747.196408436,1465.38326166,90.8592875809,-0.151627896085,-89.1473898565,-111.46884835,53.8998830048,-22.1285112212,-80.3691417109,69.7466249959,156.129522965
5.6,2126.83446765,746.286865202,1441.83724093,90.0000217754,-0.681031838499,-89.9999821781,-111.507751465,55.1072998047,-24.2670288086,-80.8003845215,70.4741516113,154.827789307
5.7,2126.83444108,746.286787969,1382.37701243,90.0000344381,-0.681023392081,-89.9999898791,-111.507751465,58.6600952148,-29.6618041992,-78.9649047852,71.4226379395,149.208953857
5.8,2126.83393352,746.322631368,1357.8722727,90.0000282618,1.84177255588,-89.9688788549,-111.507839757,60.3306492933,-31.6997300143,-78.2829525959,71.7983502077,144.575171163
5.9,2126.82460892,746.855671498,1358.50969362,90.0002177752,36.0843316898,-89.5465813334,-111.509038204,60.2667398486,-31.646191738,-78.0533810203,71.4347946591,110.309936834
6.0,2126.80215051,747.676641201,1359.45613776,90.0004621777,82.2656147711,-88.9772782744,-111.510654575,60.1805437521,-31.5739834682,-77.7437527054,70.9444591654,64.0956494742
6.1,2122.27671482,753.661680173,1351.48377789,178.882120582,90.0,0.0,-111.062210972,61.2749334493,-31.6714822946,-77.9186206385,71.2581841933,56.32515553
6.2,2108.80454708,769.320193237,1327.12741973,178.882457929,90.0,0.0,-109.791229248,64.4808959961,-32.0463867188,-78.5407714844,72.3922119141,56.1730957031
6.3,2108.80453495,769.320125472,1276.96708247,178.882482674,90.0,0.0,-109.791229248,68.4685058594,-35.4907836914,-77.4942321777,73.1075744629,52.6449890137
6.4,2128.42074524,769.320224826,1260.02841023,178.882495452,90.0,0.0,-111.069549561,70.9040222168,-35.3956298828,-76.7091064453,72.0711975098,52.4985656738
